jointids,ho8ids,ho8_quants,ho7_quantds
TRINITY_DN19238_c2_g1,TRINITY_DN16005_c0_g1_i1,14.943907,14.4526843
TRINITY_DN16606_c0_g1,TRINITY_DN18793_c1_g1_i3,13.36297,16.2036659005736
TRINITY_DN19021_c0_g1,TRINITY_DN19751_c1_g1_i3,52.1566526,16.09838
TRINITY_DN17965_c0_g1,TRINITY_DN18860_c0_g1_i1,14.078918,1.993272
TRINITY_DN18956_c0_g1,TRINITY_DN17190_c0_g1_i1,27.559558,27.124175
TRINITY_DN18956_c0_g1,TRINITY_DN17190_c0_g1_i2,27.559558,27.124175
TRINITY_DN22973_c1_g2,TRINITY_DN19891_c0_g1_i6,17.950318,0.3213486
TRINITY_DN24115_c0_g2,TRINITY_DN19451_c0_g2_i2,27.537803,10.2891249
TRINITY_DN21712_c0_g1,TRINITY_DN19012_c1_g1_i1,74.440889,2.4562008
TRINITY_DN14801_c1_g1,TRINITY_DN20068_c1_g2_i3,5.84182,10.595917
TRINITY_DN24960_c1_g1,TRINITY_DN18590_c4_g2_i2,157.42572,44.060627
TRINITY_DN22046_c3_g1,TRINITY_DN19699_c0_g1_i5,42.796253,10.6940252
TRINITY_DN25177_c1_g1,TRINITY_DN20438_c0_g1_i8,179.865199,13.65958204
TRINITY_DN13747_c0_g1,TRINITY_DN16371_c0_g1_i1,15.35613,0
TRINITY_DN23632_c1_g1,TRINITY_DN20287_c0_g1_i19,39.366449,0.606121
TRINITY_DN11921_c0_g2,TRINITY_DN11314_c0_g2_i1,2.15125,0
TRINITY_DN20750_c2_g2,TRINITY_DN18571_c0_g1_i1,14.930009,35.9857
TRINITY_DN20813_c0_g1,TRINITY_DN18590_c4_g2_i5,130.6605,0.924299
TRINITY_DN23065_c1_g2,TRINITY_DN19226_c0_g3_i3,27.34775,7.322754
TRINITY_DN21784_c0_g4,TRINITY_DN19271_c1_g1_i4,23.544879,0
TRINITY_DN20998_c0_g1,TRINITY_DN17923_c0_g1_i2,41.2914966,64.4880154
